sku,product_name,category,supplier,stock_quantity,sales_speed_per_day,expiry_date,warehouse_location,price_rub,reorder_point
QAH-000001,Моющее средство B-518,Бытовая химия,ИП Иванов,754,0.1,2028-08-26,Ряд 19-Стеллаж 28,1637.54,0
POS-000002,Детектив C-285,Книги,ООО 'ОптТорг',429,0.1,NULL,Ряд 1-Стеллаж 49,40300.67,2
EYI-000003,Футболка Lite-301,Одежда,АО 'РегионСнаб',99,0.5,2028-05-28,Ряд 15-Стеллаж 35,6285.07,9
VQW-000004,Свеча C-465,Товары для дома,Группа 'Мегаполис',721,0.1,NULL,Ряд 10-Стеллаж 6,42773.12,1
QJJ-000005,Шампунь C-948,Бытовая химия,ЗАО 'СкладСервис',273,1.0,2029-02-14,Ряд 18-Стеллаж 47,12278.31,21
QOR-000006,Ноутбук Max-512,Электроника,Группа 'Мегаполис',841,0.1,2028-07-14,Ряд 7-Стеллаж 37,43824.56,1
KXL-000007,Тушь B-142,Косметика,ИП Иванов,252,1.0,NULL,Ряд 19-Стеллаж 28,44896.25,19
NCB-000008,Кроссовки C-995,Одежда,ИП Иванов,642,0.1,2028-07-09,Ряд 13-Стеллаж 25,29814.63,2
OYR-000009,Платье A-977,Одежда,ЗАО 'СкладСервис',906,0.5,2028-12-17,Ряд 11-Стеллаж 8,14710.33,6
SSZ-000010,Крупа Lite-977,Продукты питания,ООО 'ОптТорг',934,0.1,NULL,Ряд 17-Стеллаж 39,9985.61,1
UNA-000011,Ручка A-750,Канцтовары,ТД 'Универсал',19,0.1,2029-11-20,Ряд 8-Стеллаж 4,12081.54,2
MBT-000012,Кофе Max-707,Продукты питания,ИП Иванов,675,0.5,NULL,Ряд 17-Стеллаж 39,21185.74,6
FIZ-000013,Лоток B-603,Зоотовары,ООО 'ИмпортТрейд',448,2.0,NULL,Ряд 8-Стеллаж 5,16937.37,50
FBQ-000014,Моющее средство Max-958,Бытовая химия,АО 'Торговый дом',927,0.1,NULL,Ряд 8-Стеллаж 18,33465.44,1
WOG-000015,Масло A-413,Автотовары,АО 'РегионСнаб',194,0.1,2030-07-16,Ряд 14-Стеллаж 30,43198.65,0
SUC-000016,Шампунь Lite-101,Бытовая химия,Группа 'Мегаполис',549,0.5,NULL,Ряд 15-Стеллаж 16,43730.57,4
BZV-000017,Платье C-949,Одежда,Группа 'Мегаполис',170,0.5,NULL,Ряд 13-Стеллаж 4,8273.62,3
ULK-000018,Фантастика A-766,Книги,ООО 'ОптТорг',677,1.0,2026-06-14,Ряд 10-Стеллаж 14,48437.03,25
IBM-000019,Велосипед A-965,Спорттовары,ИП Иванов,58,5.0,2028-07-19,Ряд 20-Стеллаж 5,33776.87,70
XGP-000020,Посуда Pro-135,Товары для дома,АО 'Торговый дом',429,1.0,2029-08-17,Ряд 7-Стеллаж 43,35823.78,14
RHI-000021,Куртка A-901,Одежда,ООО 'Поставщик+',469,1.0,2028-07-29,Ряд 18-Стеллаж 14,25318.94,11
GHL-000022,Лыжи B-279,Спорттовары,Торговый дом 'Восточный',309,1.0,2029-11-04,Ряд 4-Стеллаж 9,13260.07,10
HFI-000023,Корм A-342,Зоотовары,ЗАО 'СкладСервис',873,0.1,NULL,Ряд 2-Стеллаж 6,31732.51,1
UQG-000024,Роман C-597,Книги,ТД 'Универсал',564,1.0,NULL,Ряд 3-Стеллаж 45,45201.23,24
OLB-000025,Степлер Max-159,Канцтовары,ООО 'Поставщик+',920,0.5,NULL,Ряд 4-Стеллаж 23,39016.81,10
YGE-000026,Консервы Pro-894,Продукты питания,АО 'РегионСнаб',25,0.1,2030-06-22,Ряд 8-Стеллаж 18,8001.93,2
BMF-000027,Шина A-991,Автотовары,ООО 'ИмпортТрейд',312,2.0,2027-10-16,Ряд 1-Стеллаж 43,9696.83,34
UJN-000028,Корм A-611,Зоотовары,ООО 'ОптТорг',339,5.0,2029-08-17,Ряд 6-Стеллаж 38,48128.59,75
LSI-000029,Картина Max-737,Товары для дома,ООО 'ОптТорг',118,0.5,NULL,Ряд 2-Стеллаж 46,21831.07,11
YTF-000030,Дрель Pro-714,Инструменты,АО 'Торговый дом',971,1.0,2028-11-11,Ряд 10-Стеллаж 33,15498.77,20
HDK-000031,Пила Lite-622,Инструменты,ЗАО 'СкладСервис',766,5.0,2030-06-10,Ряд 18-Стеллаж 1,15228.55,65
RML-000032,Мыло A-839,Бытовая химия,ООО 'ОптТорг',484,2.0,NULL,Ряд 3-Стеллаж 19,25796.83,54
YGI-000033,Моющее средство Max-714,Бытовая химия,ИП Иванов,25,0.1,2028-07-28,Ряд 15-Стеллаж 27,44312.54,2
JKD-000034,Фантастика B-940,Книги,ООО 'Поставщик+',914,2.0,2029-05-23,Ряд 6-Стеллаж 45,25921.99,16
WLU-000035,Клетка Pro-266,Зоотовары,ООО 'ОптТорг',572,1.0,2030-12-29,Ряд 14-Стеллаж 36,22323.38,12
TVH-000036,Лыжи A-142,Спорттовары,ТД 'Универсал',641,0.1,NULL,Ряд 10-Стеллаж 16,13622.17,1
DJD-000037,Стиральный порошок Lite-390,Бытовая химия,АО 'Торговый дом',424,0.5,2028-07-06,Ряд 7-Стеллаж 27,19504.37,12
MYH-000038,Молоток Pro-345,Инструменты,АО 'РегионСнаб',551,1.0,2029-05-26,Ряд 16-Стеллаж 15,13683.12,22
RUS-000039,Фильтр A-267,Автотовары,ИП Иванов,637,0.5,2028-04-25,Ряд 3-Стеллаж 42,21459.21,10
